Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Abalistes stellatus,Starry triggerfish,Balistidae,benthic,species,103,39,224,0.697,0.395,1.497,0.21,0.09,0.49,18.2,16.1,20.3,69.2,35.4,150.5,12.9,4.5,40.9,0.827,0.542,1.311
Abantennarius coccineus,Scarlet frogfish,Antennariidae,pelagic,species,71,37,136,0.603,0.33,1.149,0.167,0.062,0.398,19.2,16.6,22.3,20.7,8.1,46.7,411,104,"1,631",1.11,0.63,1.89
Abantennarius dorehensis,New Guinean frogfish,Antennariidae,pelagic,genus,68.8,35.7,130.9,0.592,0.324,1.134,0.167,0.062,0.394,19.2,16.7,22.3,21.1,8.3,47.5,396,101,"1,560",1.08,0.62,1.83
Ablabys taenianotus,Cockatoo waspfish,Tetrarogidae,benthic,family,203,94,465,0.765,0.413,1.6,0.326,0.126,1.018,16.5,14.9,18,39.2,17,103.4,55.9,16.3,201.8,1.48,0.93,2.41
Ablennes hians,Flat needlefish,Belonidae,pelagic,species,44.2,15.8,122.6,1.15,0.45,2.56,0.389,0.131,1.253,18.1,16.1,20.2,30.3,7.8,84.2,40.6,7.1,226.3,0.721,0.394,1.383
Abudefduf notatus,Yellowtail sergeant,Pomacentridae,benthic,species,69.5,42.2,109,0.694,0.461,1.099,0.13,0.08,0.2,18.6,17.5,19.7,26,15,47,64.3,19.7,202.3,1.46,0.99,2.15
Abudefduf saxatilis,Sergeant-major,Pomacentridae,benthic,species,43.1,23.7,78.9,0.822,0.465,1.484,0.216,0.127,0.378,19.8,18.7,20.8,13,6,27,61.7,17.2,216.3,0.907,0.57,1.442
Abudefduf septemfasciatus,Banded sergeant,Pomacentridae,benthic,species,57.9,36,88.2,0.62,0.41,0.98,0.13,0.09,0.19,18.8,17.7,19.8,27.6,15.9,48.8,65.9,20.8,196.4,1.29,0.88,1.87
Abudefduf sexfasciatus,Scissortail sergeant,Pomacentridae,benthic,species,64.6,39.4,100.9,0.674,0.447,1.069,0.128,0.082,0.193,18.6,17.5,19.7,26.7,15,48.2,60.8,18.5,190.9,1.42,0.96,2.08
Abudefduf sordidus,Blackspot sergeant,Pomacentridae,benthic,species,69.4,35.2,126,0.778,0.445,1.531,0.252,0.124,0.51,17.5,16.3,18.7,25.6,11.9,60.3,82.7,20.4,316.8,1.71,1.07,2.71
Abudefduf sparoides,False-eye sergeant,Pomacentridae,benthic,species,75.1,46,116.3,0.691,0.453,1.097,0.137,0.088,0.208,18.7,17.7,19.8,25.3,14.4,45.4,74.9,23.7,226.6,1.43,0.97,2.07
Abudefduf vaigiensis,Indo-Pacific sergeant,Pomacentridae,benthic,species,78,47,128,0.824,0.548,1.305,0.126,0.08,0.192,18.8,17.7,19.9,30.9,17.3,56.6,33,10,107,1.43,0.96,2.09
Acanthocybium solandri,Wahoo,Scombridae,pelagic,species,37.4,19.8,72.6,1.64,0.92,2.83,0.289,0.164,0.517,21.9,20.8,22.9,48.4,24.7,95.8,5.38,1.69,18.97,0.524,0.352,0.818
Acanthopagrus berda,Goldsilk seabream,Sparidae,benthic,species,102,53,202,0.857,0.495,1.812,0.43,0.2,0.91,17.9,16.6,19.2,66.3,28.8,154.3,9.83,2.8,32.74,0.952,0.575,1.567
Acanthurus auranticavus,Orange-socket surgeonfish,Acanthuridae,benthic,genus,61.3,19.3,147.3,0.903,0.35,2.484,0.107,0.05,0.224,18.8,17.6,19.9,23,8,66,15,4,56,2.27,0.72,4.37
Acanthurus bariene,Black-spot surgeonfish,Acanthuridae,benthic,species,47.2,14.9,109.3,0.754,0.294,1.907,0.105,0.05,0.214,18.6,17.4,19.7,21.2,7.7,61.9,22.3,5.7,84.3,2.22,0.7,4.25
Acanthurus blochii,Ringtail surgeonfish,Acanthuridae,benthic,species,47.2,15,110,0.733,0.287,1.786,0.106,0.05,0.217,18.5,17.3,19.7,19.8,7.2,59.5,27.6,6.9,106.9,2.28,0.72,4.36
Acanthurus dussumieri,Eyestripe surgeonfish,Acanthuridae,benthic,species,45.3,14.3,105.6,0.745,0.29,1.89,0.103,0.049,0.211,18.6,17.5,19.8,21.8,7.8,63.6,21,5,79,2.17,0.68,4.16
Acanthurus gahhm,Black surgeonfish,Acanthuridae,benthic,species,59.4,19.5,139.7,0.747,0.286,1.758,0.122,0.06,0.246,18.9,17.8,20,19.6,7,53.6,35,11,106,2.11,0.68,3.97
Acanthurus guttatus,Whitespotted surgeonfish,Acanthuridae,benthic,species,75.5,24.4,179.3,0.93,0.36,2.38,0.116,0.056,0.238,18.5,17.4,19.7,18.5,6.6,52.9,27.2,7.1,99.7,2.65,0.83,5.09
Acanthurus leucocheilus,Palelipped surgeonfish,Acanthuridae,benthic,genus,48.3,15.3,112.9,0.745,0.29,1.825,0.106,0.051,0.217,18.5,17.4,19.7,20,7,59,26.5,6.7,101.8,2.28,0.72,4.34
Acanthurus leucosternon,Powderblue surgeonfish,Acanthuridae,benthic,species,44.3,13.9,102.7,0.733,0.286,1.836,0.103,0.049,0.212,18.6,17.4,19.7,21.4,7.7,63,22.1,5.6,84.4,2.17,0.69,4.16
Acanthurus lineatus,Lined surgeonfish,Acanthuridae,benthic,species,66.8,21,159,0.926,0.356,2.532,0.11,0.05,0.23,18.7,17.6,19.8,21.8,7.7,62.2,17.1,4.4,63.5,2.38,0.75,4.59
Acanthurus mata,Elongate surgeonfish,Acanthuridae,benthic,species,45.1,14.3,105.2,0.666,0.258,1.546,0.113,0.054,0.224,18.7,17.6,19.8,19.7,7.3,55.1,34.8,9.8,116.6,2.07,0.66,3.93
Acanthurus nigricauda,Epaulette surgeonfish,Acanthuridae,benthic,species,85.2,24.8,222.9,1.04,0.36,2.92,0.251,0.098,0.637,17.9,16.7,19,19.1,5.8,67.2,37,9,140,2.67,0.85,5.31
Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,benthic,species,90.1,29,216,1.01,0.39,2.64,0.12,0.06,0.25,18.5,17.4,19.7,17.9,6.2,50.8,27.5,7.2,102.9,2.81,0.88,5.39
Acanthurus nigroris,Bluelined surgeonfish,Acanthuridae,benthic,species,77,25,183,0.935,0.362,2.382,0.117,0.056,0.24,18.5,17.4,19.6,18.2,6.5,52.1,28.1,7.3,102.9,2.68,0.84,5.15
Acanthurus pyroferus,Chocolate surgeonfish,Acanthuridae,benthic,species,66.8,21.4,156.8,0.864,0.338,2.143,0.113,0.055,0.234,18.5,17.3,19.6,18.4,6.6,52.1,29.4,7.5,109.6,2.57,0.81,4.92
Acanthurus tennentii,Doubleband surgeonfish,Acanthuridae,benthic,species,66.3,21.4,157.9,0.877,0.341,2.232,0.113,0.054,0.232,18.6,17.4,19.7,19.2,6.8,54.6,25.8,6.5,94.8,2.52,0.8,4.86
Acanthurus thompsoni,Thompson's surgeonfish,Acanthuridae,pelagic,species,90.7,26.1,255.2,1.14,0.39,3.31,0.303,0.11,0.841,17.7,16.5,18.9,15.3,4.3,84.7,113,28,442,2.43,0.78,5.05
