species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Acanthurus leucosternon,-1.600869558,-0.19196493,1.916017592,-1.627242991,0,M1,41.71307197,8.249152027,96.35907793,Ca
Acanthurus nigrofuscus,-1.600869558,-1.136426539,1.217471247,-2.293909657,0,M1,80.93394467,17.98755948,185.9055255,Ca
Aprion virescens,0.699130442,0.537549895,-0.312459521,-0.007013657,0,M1,22.09653925,9.327973086,39.61582536,Ca
Cephalopholis argus,0.559130442,-0.086604414,0.826359181,-1.093909657,0,M1,31.43894104,17.3896633,48.99540659,Ca
Cephalopholis leopardus,0.409130442,-1.002895146,0.826359181,-1.093909657,0,M1,48.68521387,24.48001804,82.88167395,Ca
Lethrinus harak,-0.000869558,-0.268925971,0.877124556,-2.774136657,0,M1,44.97355134,18.74391742,82.48211093,Ca
Lutjanus bohar,0.699130442,0.318860694,-0.743242467,2.948736343,0,M1,24.82132759,7.476101887,54.27535125,Ca
Lutjanus gibbus,0.499130442,-0.268925971,0.737362611,-2.564836657,0,M1,40.99397024,17.26603148,79.47140087,Ca
Scarus caudofasciatus,-1.548726701,-0.268925971,1.351576479,-1.293909657,0,M1,47.41035929,15.48894544,91.75934685,Ca
Scarus frenatus,-1.600869558,-0.330801375,1.559342648,-1.293909657,0,M1,46.66927057,13.04553582,97.60337271,Ca
Scarus niger,-1.600869558,-0.492069523,1.347128168,-1.293909657,0,M1,52.85994693,16.18766315,104.3712449,Ca
Scarus prasiognathos,-1.548726701,0.067546265,1.351576479,-1.293909657,0,M1,41.13636702,12.58495311,79.8688606,Ca
Scarus scaber,-1.600869558,-0.570031064,1.46732375,-1.293909657,0,M1,53.40317768,16.33098213,109.4769617,Ca
Scarus tricolor,-1.600869558,-0.900037761,1.351576479,-1.293909657,0,M1,63.45501095,17.09020653,128.6239597,Ca
Siganus stellatus,-0.900869558,-0.492069523,1.842412452,-2.793909657,0,M1,47.79385036,15.51027668,97.62178969,Ca
Thalassoma hebraicum,-0.100869558,-1.045454761,1.520121935,-3.293909657,0,M1,57.90899936,17.35173879,132.1575897,Ca
Leptoscarus vaigiensis,-1.300869558,-0.625600915,0.898630741,-2.793909657,0,M1,68.39051103,24.76396858,152.1381623,Ca
Parupeneus barberinus,-0.200869558,-0.086604414,0.161998424,-1.022278657,0,M1,42.98019901,25.09520568,64.73949669,Ca
Parupeneus macronemus,-0.100869558,-0.492069523,2.059118436,-2.809623943,0,M1,38.5611443,9.050121478,79.19723215,Ca
Scarus ghobban,-1.600869558,0.318860694,0.514219045,-2.293909657,0,M1,48.83312976,18.32414331,96.0503623,Ca
Scarus rubroviolaceus,-1.600869558,0.067546265,-0.118303514,-0.393909657,0,M1,53.82421464,18.05793544,104.2709148,Ca
Siganus argenteus,-0.970869444,-0.492069523,0.960506147,-2.793909657,0,M1,59.71958135,23.94421655,122.0147139,Ca
Lethrinus nebulosus,0.199130442,0.284959142,-0.00707789,-0.855634657,0,M1,34.29805697,20.05173074,51.10879015,Ca
Acanthurus lineatus,-0.755415013,-0.543362817,1.296978367,-3.224922657,0,M1,55.76972775,15.34422507,113.7919324,Ca
Acanthurus tennentii,-1.600869558,-0.746961772,1.339807386,-1.627242991,0,M1,61.21793549,18.35533804,123.4048788,Ca
Siganus sutor,-1.600869558,-0.374286487,1.383811174,-2.793909657,0,M1,57.87413391,16.80320132,120.9478277,Ca
Cheilinus fasciatus,-0.230869558,-0.492069523,1.055816327,-1.114364203,0,M1,42.74279341,23.97251093,66.27713005,Ca
Lethrinus mahsena,-0.200869558,-0.006561707,-0.648931755,2.183145343,0,M1,36.48160086,13.04342783,72.428812,Ca
Epinephelus merra,0.779130442,-0.746961772,0.737362596,-0.427242991,0,M1,39.12787174,22.94679961,64.44391626,Ca
Naso elegans,-1.600869558,-0.374286487,0.656965659,1.206090343,0,M1,46.04072511,12.77611239,106.9510804,Ca
Scarus falcipinnis,-1.600869558,-0.086604414,1.351576479,-1.293909657,0,M1,44.24402512,14.07987353,88.03614909,Ca
Scarus globiceps,-1.600869558,-0.885112111,1.351576479,-1.293909657,0,M1,62.95145084,17.96511172,127.6379744,Ca
Lethrinus lentjan,0.299130442,-0.229705258,1.282589644,-3.254263657,0,M1,39.98907828,13.93023104,80.98784335,Ca
Acanthurus triostegus,-0.800869558,-0.885112111,1.653653328,-3.519397757,0,M1,62.54346764,21.14981859,146.1388249,Ca
Cephalopholis miniata,0.699130442,-0.268925971,-0.553621585,1.806090343,0,M1,34.7504422,14.60628408,62.2330371,Ca
Cephalopholis urodeta,0.419130442,-0.848744466,1.982957075,-1.093909657,0,M1,35.22653408,7.088580532,70.09008924,Ca
Epinephelus coeruleopunctatus,0.569130442,0.149784364,0.101771037,-0.427242991,0,M1,31.65632703,18.34058234,45.36225781,Ca
Scarus viridifucatus,-1.600869558,-0.374286487,1.351576479,-1.293909657,0,M1,50.28882368,15.82021931,99.83827807,Ca
Epinephelus hexagonatus,0.449130442,-0.866762972,1.559342648,-0.427242991,0,M1,36.25942479,12.66459954,67.04020182,Ca
Lethrinus olivaceus,0.399130442,0.424221209,0.267358967,-1.746127657,0,M1,31.61247825,16.08441522,51.66794508,Ca
Lutjanus kasmira,0.299130442,-0.492069523,0.102484309,-0.986639657,0,M1,47.4089371,26.6084019,78.5304644,Ca
Lethrinus enigmaticus,0.229130366,-0.173615791,-0.250155645,0.024840343,0,M1,40.81087772,24.84860728,64.03816608,Ca
Lethrinus rubrioperculatus,0.199130442,-0.268925971,0.139525591,-1.048335657,0,M1,43.32253625,24.59646899,66.21660768,Ca
Diagramma pictum,0.099130442,0.424221209,0.243066286,-1.564780657,0,M1,33.16393839,17.62487338,51.14615033,Ca
Acanthurus leucosternon,-1.600869558,-0.19196493,1.916017592,-1.627242991,1,M1,42.19100823,6.793508267,95.95976108,Ca
